detail,error_severity,event_message,hint,id,identifier,timestamp
"The database was created using collation version 153.120, but the operating system provides version 153.121.",WARNING,"database ""postgres"" has a collation version mismatch","Rebuild all objects in this database that use the default collation and run ALTER DATABASE postgres REFRESH COLLATION VERSION, or build PostgreSQL with the right library version.",2163c28b-234d-4906-97c6-a617589c4c0a,erjhxwbutjyylxdthuuz,1779312594732000
null,LOG,"connection authenticated: identity=""postgres"" method=scram-sha-256 (/etc/postgresql/pg_hba_public.conf:3)",null,a857d420-5341-4e8a-9a10-3a3f79abad37,erjhxwbutjyylxdthuuz,1779312594729000
null,LOG,"connection authorized: user=postgres database=postgres application_name=supabase/dashboard SSL enabled (protocol=TLSv1.3, cipher=TLS_AES_256_GCM_SHA384, bits=256)",null,6ce7e8ea-c1be-4be8-bba5-a11ecfdff44c,erjhxwbutjyylxdthuuz,1779312594729000
"The database was created using collation version 153.120, but the operating system provides version 153.121.",WARNING,"database ""postgres"" has a collation version mismatch","Rebuild all objects in this database that use the default collation and run ALTER DATABASE postgres REFRESH COLLATION VERSION, or build PostgreSQL with the right library version.",d0091c94-e812-45cf-bf2b-907915f37f7a,erjhxwbutjyylxdthuuz,1779312594640000
null,LOG,"connection authorized: user=postgres database=postgres application_name=supabase/dashboard SSL enabled (protocol=TLSv1.3, cipher=TLS_AES_256_GCM_SHA384, bits=256)",null,5a24e397-d26a-4f07-8f2b-da8590e1543d,erjhxwbutjyylxdthuuz,1779312594639000
null,LOG,"connection authenticated: identity=""postgres"" method=scram-sha-256 (/etc/postgresql/pg_hba_public.conf:3)",null,ae343034-66a9-4653-a4b3-1798d820e213,erjhxwbutjyylxdthuuz,1779312594639000
null,LOG,connection received: host=2600:1f18:2a66:6e07:5188:e479:b538:ff6e port=39000,null,c97e5dc5-a616-45cc-9f7f-c9635e254a9d,erjhxwbutjyylxdthuuz,1779312594622000
null,ERROR,canceling statement due to statement timeout,null,1f9e44f2-415b-48aa-a374-4942c6e0416f,erjhxwbutjyylxdthuuz,1779312593725000
null,ERROR,canceling statement due to statement timeout,null,7f9a0b64-846f-4a20-9aa2-f4285624aff6,erjhxwbutjyylxdthuuz,1779312593586000
"The database was created using collation version 153.120, but the operating system provides version 153.121.",WARNING,"database ""postgres"" has a collation version mismatch","Rebuild all objects in this database that use the default collation and run ALTER DATABASE postgres REFRESH COLLATION VERSION, or build PostgreSQL with the right library version.",3bec6473-9868-4f80-b09f-d415094b42b3,erjhxwbutjyylxdthuuz,1779312592993000
null,ERROR,canceling statement due to statement timeout,null,f9984516-a913-4718-913a-9239e82bcbae,erjhxwbutjyylxdthuuz,1779312592584000
null,ERROR,canceling statement due to statement timeout,null,1f7b51a2-2fe1-491a-b624-ccadb08e80fb,erjhxwbutjyylxdthuuz,1779312592237000
null,ERROR,there is no unique or exclusion constraint matching the ON CONFLICT specification,null,c3c7c3e0-073e-4965-ba7c-4eca0f557759,erjhxwbutjyylxdthuuz,1779312587965000
null,ERROR,there is no unique or exclusion constraint matching the ON CONFLICT specification,null,049886de-66d3-4e6e-a382-a61453ab314d,erjhxwbutjyylxdthuuz,1779312585296000
"The database was created using collation version 153.120, but the operating system provides version 153.121.",WARNING,"database ""postgres"" has a collation version mismatch","Rebuild all objects in this database that use the default collation and run ALTER DATABASE postgres REFRESH COLLATION VERSION, or build PostgreSQL with the right library version.",e1d123c4-4896-41e0-b6f0-0561b3ff6110,erjhxwbutjyylxdthuuz,1779312584908000
null,LOG,"connection authorized: user=authenticator database=postgres application_name=postgrest SSL enabled (protocol=TLSv1.3, cipher=TLS_AES_256_GCM_SHA384, bits=256)",null,d2efbe45-f23c-4c8a-be55-a96b7835505b,erjhxwbutjyylxdthuuz,1779312584906000
null,LOG,"connection authenticated: user=""authenticator"" method=trust (/etc/postgresql/pg_hba.conf:8)",null,65737420-fcb8-47fe-a3d6-5940d50f06e1,erjhxwbutjyylxdthuuz,1779312584906000
"The database was created using collation version 153.120, but the operating system provides version 153.121.",WARNING,"database ""postgres"" has a collation version mismatch","Rebuild all objects in this database that use the default collation and run ALTER DATABASE postgres REFRESH COLLATION VERSION, or build PostgreSQL with the right library version.",a2d7ef45-d6b0-44b5-bb1f-edb5db8b14cc,erjhxwbutjyylxdthuuz,1779312584904000
null,LOG,"connection authorized: user=authenticator database=postgres application_name=postgrest SSL enabled (protocol=TLSv1.3, cipher=TLS_AES_256_GCM_SHA384, bits=256)",null,b28ce7f3-cb86-4a98-82e7-661d31f90964,erjhxwbutjyylxdthuuz,1779312584903000
null,LOG,"connection authenticated: user=""authenticator"" method=trust (/etc/postgresql/pg_hba.conf:8)",null,70a32e3a-0180-41f1-809f-e30e33c15066,erjhxwbutjyylxdthuuz,1779312584903000
"The database was created using collation version 153.120, but the operating system provides version 153.121.",WARNING,"database ""postgres"" has a collation version mismatch","Rebuild all objects in this database that use the default collation and run ALTER DATABASE postgres REFRESH COLLATION VERSION, or build PostgreSQL with the right library version.",99cf69d1-1779-4867-9b2d-af87e98d8567,erjhxwbutjyylxdthuuz,1779312584011000
null,LOG,"connection authorized: user=authenticator database=postgres application_name=postgrest SSL enabled (protocol=TLSv1.3, cipher=TLS_AES_256_GCM_SHA384, bits=256)",null,d3114a10-a706-491b-a94a-a7a5fb871aa6,erjhxwbutjyylxdthuuz,1779312584009000
null,LOG,"connection authenticated: user=""authenticator"" method=trust (/etc/postgresql/pg_hba.conf:8)",null,0dc134c9-7844-4a50-afc5-7ee708e1db04,erjhxwbutjyylxdthuuz,1779312584009000
"The database was created using collation version 153.120, but the operating system provides version 153.121.",WARNING,"database ""postgres"" has a collation version mismatch","Rebuild all objects in this database that use the default collation and run ALTER DATABASE postgres REFRESH COLLATION VERSION, or build PostgreSQL with the right library version.",85f6998f-6d57-4d8f-98c2-c6a6258a276f,erjhxwbutjyylxdthuuz,1779312583881000
null,LOG,"connection authorized: user=authenticator database=postgres application_name=postgrest SSL enabled (protocol=TLSv1.3, cipher=TLS_AES_256_GCM_SHA384, bits=256)",null,06c5352c-8974-4693-bd48-107ae38f78aa,erjhxwbutjyylxdthuuz,1779312583880000
null,LOG,"connection authenticated: user=""authenticator"" method=trust (/etc/postgresql/pg_hba.conf:8)",null,f05f7e2e-f771-45dd-b15b-9a6adb3f2e1c,erjhxwbutjyylxdthuuz,1779312583880000
"The database was created using collation version 153.120, but the operating system provides version 153.121.",WARNING,"database ""postgres"" has a collation version mismatch","Rebuild all objects in this database that use the default collation and run ALTER DATABASE postgres REFRESH COLLATION VERSION, or build PostgreSQL with the right library version.",890a3250-be8a-4253-b8b1-eaa815776557,erjhxwbutjyylxdthuuz,1779312583876000
null,LOG,"connection authorized: user=authenticator database=postgres application_name=postgrest SSL enabled (protocol=TLSv1.3, cipher=TLS_AES_256_GCM_SHA384, bits=256)",null,2633dc44-671d-47b9-9513-4d163b123a80,erjhxwbutjyylxdthuuz,1779312583875000
null,LOG,"connection authenticated: user=""authenticator"" method=trust (/etc/postgresql/pg_hba.conf:8)",null,7a039cc1-5295-4c04-af76-ffc210cd5443,erjhxwbutjyylxdthuuz,1779312583875000
